선택지 번호,선택지 내용,다음 스크립트 여부,다음 스크립트 번호,효과,수치
1,입에 넣어 본다,Y,4,피해,10
,프리스에게 준다,Y,5,,
,관찰한다,Y,6,,
2,입에 넣어 본다,Y,9,회복,10
,프리스에게 준다,Y,10,,
,관찰한다,Y,11,,
3,입에 넣어 본다,Y,14,회복,5
,프리스에게 준다,Y,15,,
,관찰한다,Y,16,,
4,입에 넣어 본다,Y,19,회복,10
,프리스에게 준다,Y,20,,
,관찰한다,Y,21,,
5,입에 넣어 본다,Y,24,회복,5
,프리스에게 준다,Y,25,,
,관찰한다,Y,26,,
6,입에 넣어 본다,Y,29,회복,10
,프리스에게 준다,Y,30,,
,관찰한다,Y,31,,
7,입에 넣어 본다,Y,34,회복,5
,프리스에게 준다,Y,35,,
,관찰한다,Y,36,,
8,입에 넣어 본다,Y,39,회복,10
,프리스에게 준다,Y,40,,
,관찰한다,Y,41,,
9,입에 넣어 본다,Y,44,회복,10
,프리스에게 준다,Y,45,,
,관찰한다,Y,46,,
10,입에 넣어 본다,Y,49,피해,5
,프리스에게 준다,Y,50,,
,관찰한다,Y,51,,
11,입에 넣어 본다,Y,54,피해,10
,프리스에게 준다,Y,55,,
,관찰한다,Y,56,,
12,입에 넣어 본다,Y,59,피해,10
,프리스에게 준다,Y,60,,
,관찰한다,Y,61,,
13,입에 넣어 본다,Y,64,피해,10
,프리스에게 준다,Y,65,,
,관찰한다,Y,66,,
14,입에 넣어 본다,Y,69,피해,10
,프리스에게 준다,Y,70,,
,관찰한다,Y,71,,
15,입에 넣어 본다,Y,74,피해,20
,프리스에게 준다,Y,75,,
,관찰한다,Y,76,,
16,입에 넣어 본다,Y,79,피해,15
,프리스에게 준다,Y,80,,
,관찰한다,Y,81,,
17,입에 넣어 본다,Y,84,피해,5
,프리스에게 준다,Y,85,,
,관찰한다,Y,86,,
18,입에 넣어 본다,Y,98,,
,프리스에게 준다,Y,99,,
,관찰한다,Y,100,,
19,다시 먹어 본다,Y,101,,
,관찰한다,Y,100,,
20,먹어 본다,Y,101,,
,관찰한다,Y,100,,
21,관찰한다,Y,105,,
22,입에 넣어 본다,Y,108,,
,프리스에게 준다,Y,109,,
,관찰한다,Y,110,,
23,다시 먹어 본다,Y,111,,
,관찰한다,Y,110,,
24,먹어 본다,Y,112,,
,관찰한다,Y,110,,
25,관찰한다,Y,110,,
26,입에 넣어 본다,Y,117,,
,프리스에게 준다,Y,118,,
,관찰한다,Y,119,,
27,다시 먹어 본다,Y,120,,
,관찰한다,Y,119,,
28,먹어 본다,Y,121,,
,관찰한다,Y,119,,
29,관찰한다,Y,119,,
30,입에 넣어 본다,Y,127,회복,10
,프리스에게 준다,Y,128,,
,관찰한다,Y,129,,
31,입에 넣어 본다,Y,132,회복,15
,프리스에게 준다,Y,133,,
,관찰한다,Y,134,,
32,입에 넣어 본다,Y,137,회복,10
,프리스에게 준다,Y,138,,
,관찰한다,Y,139,,
33,입에 넣어 본다,Y,143,회복,10
,프리스에게 준다,Y,144,,
,관찰한다,Y,145,,
34,입에 넣어 본다,Y,151,회복,10
,프리스에게 준다,Y,152,,
,관찰한다,Y,153,,
35,입에 넣어 본다,Y,156,회복,10
,프리스에게 준다,Y,157,,
,관찰한다,Y,158,,
36,입에 넣어 본다,Y,169,회복,10
,프리스에게 준다,Y,170,,
,관찰한다,Y,171,,
37,마신다,Y,180,회복,10
,마시지 않는다,Y,181,,
38,물을 준다,Y,184,,
,주지 않는다,Y,185,,
